test,arch,platform,status,extra_args,handler,handler_time,ram_size,rom_size
tests/kernel/timer/timer_monotonic/kernel.timer.monotonic.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/timer_api/kernel.timer,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/timer_api/kernel.timer.tickless,riscv32,hifive1,skipped,"CONF_FILE=""prj_tickless.conf""",renode,,0,0
tests/kernel/timer/timer_api/kernel.timer.no_multitheading,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/cycle64/kernel.timer.cycle64,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/cycle64/kernel.timer.cycle64.fast,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/timer_error_case/kernel.timer.error_case,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/tickless/tickless_concept/kernel.tickless.concept,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_concept/kernel.memory_slabs.concept,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_concept/kernel.memory_slabs.concept.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab/kernel.memory_slabs.api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab/kernel.memory_slabs.api.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_threadsafe/kernel.memory_slabs.threadsafe,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_threadsafe/kernel.memory_slabs.threadsafe.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_api/kernel.memory_slabs.api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_api/kernel.memory_slabs.api_no_multithreading,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_api/kernel.memory_slabs.api.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mp/kernel.multiprocessing,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mp/kernel.multiprocessing.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.arm,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.riscv32,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.riscv64,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.sparc,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.x86.fpu,riscv32,hifive1,skipped,CONF_FILE=prj_x86.conf,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.x86.sse,riscv32,hifive1,skipped,CONF_FILE=prj_x86.conf,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.arc,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=500,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.arm,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=70000,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.arm64,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=70000,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.riscv32,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=500,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.riscv64,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=500,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.sparc,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=70000,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.x86.fpu,riscv32,hifive1,skipped,CONF_FILE=prj_x86.conf,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.x86.sse,riscv32,hifive1,skipped,CONF_FILE=prj_x86.conf,renode,,0,0
tests/kernel/pipe/pipe_api/kernel.pipe.api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/pipe/pipe/kernel.pipe,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/pending/kernel.objects,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/k_heap_api/kernel.k_heap_api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/k_heap_api/kernel.k_heap_api.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/shared_multi_heap/kernel.shared_multi_heap,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/mheap_api_concept/kernel.memory_heap,riscv32,hifive1,skipped,,renode,,0,0
